team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
bend it like rice,w,4,5,Schär,0,Dorgu,5,-5
Tension nae leni FC,w,4,5,Perri,0,Sels,3,-3
Tension nae leni FC,f,4,5,Szoboszlai,1,Garner,4,-3
Watermelon FC,w,4,5,Henderson,1,Martinez,3,-2
Watermelon FC,w,4,5,Trippier,0,Spence,1,-1
Watermelon FC,w,4,5,Kolo Muani,0,Raúl,1,-1
Watermelon FC,w,4,5,Garnacho,0,Hudson-Odoi,1,-1
bend it like rice,w,4,5,Beto,1,Osula,1,0
Lulli XI,w,4,5,L.Paquetá,1,O.Dango,1,0
Lulli XI,w,4,5,Mosquera,1,Stones,1,0
bend it like rice,w,4,5,Donnarumma,1,Kelleher,1,0
Lulli XI,f,4,5,M.Bizot,0,Ederson M.,0,0
dazzoomzzoom,w,4,5,Xavi,1,Estêvão,1,0
Tension nae leni FC,w,4,5,Dewsbury-Hall,1,Bruno G.,0,1
Cant win fc,f,4,5,Leno,1,Trafford,0,1
Cant win fc,w,4,5,Woltemade,2,Barry,1,1
Watermelon FC,f,4,5,King,1,Garnacho,0,1
Tension nae leni FC,w,4,5,Struijk,4,Kayode,1,3
Cant win fc,w,4,5,Richards,4,Digne,1,3
Lulli XI,w,4,5,Muniz,5,Welbeck,1,4
Cant win fc,w,4,5,Gvardiol,4,Aina,0,4
dazzoomzzoom,w,4,5,Guéhi,7,Rúben,2,5
Tension nae leni FC,w,4,5,Senesi,9,De Ligt,2,7
Watermelon FC,w,4,5,Mitchell,8,Yoro,1,7
Lulli XI,f,4,5,Truffert,9,Mosquera,1,8
