team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
dazzoomzzoom,f,29,30,A.Jimenez,1,Van Hecke,9,-8
Tension nae leni FC,w,29,30,Diouf,2,F.Kadıoğlu,8,-6
dazzoomzzoom,f,29,30,Mykolenko,1,Milenković,6,-5
Lulli XI,w,29,30,Damsgaard,0,Barnes,3,-3
Cant win fc,w,29,30,Kroupi.Jr,2,Kolo Muani,4,-2
Watermelon FC,f,29,30,Foden,1,Gibbs-White,3,-2
Lulli XI,w,29,30,Branthwaite,0,Van den Berg,0,0
Tension nae leni FC,w,29,30,Beto,2,Woltemade,2,0
Tension nae leni FC,w,29,30,Iwobi,3,Rayan,3,0
bend it like rice,w,29,30,Havertz,2,Evanilson,2,0
Tension nae leni FC,w,29,30,Garner,4,Mainoo,4,0
Tension nae leni FC,w,29,30,Ampadu,3,Wharton,1,2
bend it like rice,w,29,30,Rodrigo,4,Anderson,2,2
Cant win fc,w,29,30,Marmoush,3,Cherki,1,2
Cant win fc,w,29,30,Robertson,2,Kerkez,0,2
bend it like rice,w,29,30,Senesi,10,Andersen,7,3
Cant win fc,w,29,30,O'Brien,3,Henry,0,3
Watermelon FC,f,29,30,Frimpong,6,O'Reilly,2,4
Cant win fc,w,29,30,Hincapie,4,Cash,0,4
dazzoomzzoom,f,29,30,Scott,5,Adli,1,4
Cant win fc,w,29,30,Leno,7,Pope,0,7
Tension nae leni FC,w,29,30,Richards,10,Chalobah,2,8
