team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,f,36,37,Akanji,2,Konsa,15,-13
dazzoomzzoom,w,36,37,Savinho,0,A.Doucoure,3,-3
Tension nae leni FC,w,36,37,Strand Larsen,11,Nketiah,13,-2
dazzoomzzoom,w,36,37,Damsgaard,2,El Khannouss,3,-1
Tension nae leni FC,w,36,37,Delap,1,Højlund,2,-1
Tension nae leni FC,w,36,37,Doku,1,Tonali,2,-1
Tension nae leni FC,w,36,37,N.Semedo,0,Richards,1,-1
Tension nae leni FC,w,36,37,Arrizabalaga,1,Ramsdale,1,0
dazzoomzzoom,w,36,37,Milenković,8,Kiwior,7,1
Tension nae leni FC,w,36,37,Enzo,3,Son,2,1
Premier XI,f,36,37,Kluivert,1,O.Dango,0,1
Premier XI,f,36,37,Leno,6,Onana,2,4
Cant win fc,w,36,37,Bernardo,11,Ødegaard,6,5
Premier XI,f,36,37,Cucurella,15,Mykolenko,8,7
Lulli XI,w,36,37,Konsa,15,Schär,2,13
