team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
dazzoomzzoom,w,11,12,Johnstone,0,Henderson,7,-7
dazzoomzzoom,w,11,12,N.Semedo,2,Young,9,-7
Premier XI,w,11,12,Davis,2,Tarkowski,7,-5
Dragon riders,w,11,12,José Sá,2,Pickford,6,-4
Dragon riders,w,11,12,Gakpo,1,Darwin,2,-1
Tension nae leni FC,w,11,12,Chalobah,0,Justin,1,-1
Lulli XI,w,11,12,Schär,1,Milenković,1,0
dazzoomzzoom,w,11,12,Tavernier,2,Bernardo,1,1
Cant win fc,w,11,12,De Ligt,2,Alex Moreno,1,1
Tension nae leni FC,w,11,12,Evanilson,2,Duran,1,1
Dragon riders,w,11,12,Hall,1,Rúben,0,1
Lulli XI,w,11,12,Savinho,2,Matheus N.,0,2
Tension nae leni FC,w,11,12,Janelt,3,Buonanotte,0,3
Tension nae leni FC,w,11,12,Strand Larsen,5,Delap,2,3
